common_name,scientific_name,ebird_species_code
Abert's Towhee,Melozone aberti,abetow
Acadian Flycatcher,Empidonax virescens,acafly
Accipiter sp.,Accipiter sp.,accipi
Acorn Woodpecker,Melanerpes formicivorus,acowoo
African Collared-Dove,Streptopelia roseogrisea,afcdov1
African Sacred Ibis,Threskiornis aethiopicus,sacibi2
African Silverbill,Euodice cantans,afrsil1
Akekee,Loxops caeruleirostris,akekee
Akiapolaau,Hemignathus wilsoni,akiapo
Akikiki,Oreomystis bairdi,akikik
Akohekohe,Palmeria dolei,crehon
albatross sp.,Diomedeidae sp.,albatr1
alcid sp.,Alcidae sp.,alcid
Alder Flycatcher,Empidonax alnorum,aldfly
Aleutian Tern,Onychoprion aleuticus,aleter1
Allen's Hummingbird,Selasphorus sasin,allhum
Altamira Oriole,Icterus gularis,altori
Amazona sp.,Amazona sp.,amazon
Amazon Kingfisher,Chloroceryle amazona,amakin1
American Avocet,Recurvirostra americana,ameavo
American Bittern,Botaurus lentiginosus,amebit
American Black Duck,Anas rubripes,ambduc
American Coot,Fulica americana,y00475
American Crow,Corvus brachyrhynchos,amecro
American Dipper,Cinclus mexicanus,amedip
American Flamingo,Phoenicopterus ruber,grefla2
American Golden-Plover,Pluvialis dominica,amgplo
American Goldfinch,Spinus tristis,amegfi
American Kestrel,Falco sparverius,amekes
American Oystercatcher,Haematopus palliatus,ameoys
American Pipit,Anthus rubescens,amepip
American Redstart,Setophaga ruticilla,amered
American Robin,Turdus migratorius,amerob
American Three-toed Woodpecker,Picoides dorsalis,attwoo1
American Tree Sparrow,Spizelloides arborea,amtspa
American White Pelican,Pelecanus erythrorhynchos,amwpel
American Wigeon,Mareca americana,amewig
American Woodcock,Scolopax minor,amewoo
Amethyst-throated Mountain-gem,Lampornis amethystinus,amthum1
Ammospiza sp.,Ammospiza sp.,ammosp1
Anas sp.,Anas sp.,anas1
Ancient Murrelet,Synthliboramphus antiquus,ancmur
Anhinga,Anhinga anhinga,anhing
Anianiau,Magumma parva,aniani
Anna's Hummingbird,Calypte anna,annhum
Anser sp.,Anser sp.,anser1
Antillean Nighthawk,Chordeiles gundlachii,antnig
Antillean Palm-Swift,Tachornis phoenicobia,anpswi
Antrostomus sp.,Antrostomus sp.,antros1
Apapane,Himatione sanguinea,apapan
Aphelocoma sp.,Aphelocoma sp.,scrjay
Aplomado Falcon,Falco femoralis,aplfal
Arctic Loon,Gavia arctica,arcloo
Arctic Tern,Sterna paradisaea,arcter
Arctic Warbler,Phylloscopus borealis,arcwar1
Ardea sp.,Ardea sp.,ardea1
Arizona Woodpecker,Dryobates arizonae,ariwoo
Ash-throated Flycatcher,Myiarchus cinerascens,astfly
Ashy Storm-Petrel,Oceanodroma homochroa,asspet
Asian Brown Flycatcher,Muscicapa dauurica,asbfly
Asian Rosy-Finch,Leucosticte arctoa,asrfin1
Asio sp.,Asio sp.,asio1
Atlantic Puffin,Fratercula arctica,atlpuf
Audubon's Oriole,Icterus graduacauda,audori
Audubon's Shearwater,Puffinus lherminieri,audshe
auklet sp.,Ptychoramphus/Aethia sp.,auklet
Aythya sp.,Aythya sp.,aythya1
Aztec Thrush,Ridgwayia pinicola,aztthr
Azure Gallinule,Porphyrio flavirostris,azugal1
Bachman's Sparrow,Peucaea aestivalis,bacspa
Bahama Mockingbird,Mimus gundlachii,bahmoc
Bahama Swallow,Tachycineta cyaneoviridis,bahswa
Bahama Woodstar,Nesophlox evelynae,bahwoo
Baikal Teal,Sibirionetta formosa,baitea
Baillon's Crake,Zapornia pusilla,baicra1
Baird's Sandpiper,Calidris bairdii,baisan
Baird's Sparrow,Centronyx bairdii,baispa
Bald Eagle,Haliaeetus leucocephalus,baleag
Baltimore Oriole,Icterus galbula,balori
Bananaquit,Coereba flaveola,banana
Band-rumped Storm-Petrel,Oceanodroma castro,barpet
Band-tailed Pigeon,Patagioenas fasciata,batpig1
Bank Swallow,Riparia riparia,banswa
Bare-throated Tiger-Heron,Tigrisoma mexicanum,btther1
Barnacle Goose,Branta leucopsis,bargoo
Barn Owl,Tyto alba,brnowl
Barn Swallow,Hirundo rustica,barswa
Barolo Shearwater,Puffinus baroli,litshe1
Barred Owl,Strix varia,brdowl
Barrow's Goldeneye,Bucephala islandica,bargol
Bar-tailed Godwit,Limosa lapponica,batgod
Bay-breasted Warbler,Setophaga castanea,babwar
Belcher's Gull,Larus belcheri,belgul
Bell's Sparrow,Artemisiospiza belli,belspa2
Bell's Vireo,Vireo bellii,belvir
Belted Kingfisher,Megaceryle alcyon,belkin1
Bendire's Thrasher,Toxostoma bendirei,benthr
Bermuda Petrel,Pterodroma cahow,berpet
Berylline Hummingbird,Amazilia beryllina,berhum
Bewick's Wren,Thryomanes bewickii,bewwre
Bicknell's Thrush,Catharus bicknelli,bicthr
bird sp.,Aves sp.,bird1
black-and-white shearwater sp.,Puffinus sp. (black-and-white shearwater sp.),bawshe1
Black-and-white Warbler,Mniotilta varia,bawwar
