Type,Organization,Street Address,City,County,State,ZIP,Phone,Birds Accepted,Latitude,Longitude,Location Precision,License Status,Source
Organization,Bird Treatment and Learning Center,15510 Old Seward Hwy,Anchorage,Anchorage,AK,99516,907-562-4852,all birds,61.0912,-149.76237,street address (ZIP-level coordinate),"keep - Alaska has no official public rehabber list; verified reputable organization, USFWS + Alaska Dept of Fish & Game permitted",https://www.birdtlc.org/
Organization,Alaska Raptor Center,1000 Raptor Way,Sitka,Sitka,AK,99835,907-747-8662,all birds,57.08082,-135.31835,street address (ZIP-level coordinate),keep - Alaska has no official public rehabber list; verified reputable USFWS-permitted raptor rehabilitation organization,https://alaskaraptor.org/about-us/
Organization,Auburn Raptor Center (Southeastern Raptor Center),1350 Pratt-Carden Drive,Auburn,Lee,AL,36849,334-844-6347,raptors,32.57818,-85.349,street address (ZIP-level coordinate),On Alabama DCNR (Outdoor Alabama) permitted wildlife rehabilitators list — official state agency source,https://www.outdooralabama.com/wildlife-rehabilitation/permitted-wildlife-rehabilitators
Organization,Environmental Studies Center,6101 Girby Road,Mobile,Mobile,AL,36693,251-221-5000,all birds,30.63574,-88.1745,street address (ZIP-level coordinate),On Alabama DCNR (Outdoor Alabama) permitted wildlife rehabilitators list — official state agency source,https://www.outdooralabama.com/wildlife-rehabilitation/permitted-wildlife-rehabilitators
Organization,Alabama Wildlife Center,"100 Terrace Drive, Oak Mountain State Park",Pelham,Jefferson,AL,35124,205-663-7930,all birds,33.29316,-86.76796,street address (ZIP-level coordinate),On Alabama DCNR (Outdoor Alabama) permitted wildlife rehabilitators list — official state agency source,https://www.outdooralabama.com/wildlife-rehabilitation/permitted-wildlife-rehabilitators
Organization,Northsong Wild Bird Rehabilitation,17887 Wheeler Road,Fayetteville,Benton,AR,72704,479-309-1417,all birds,36.08773,-94.30932,street address (ZIP-level coordinate),"Kept — registered 501(c)(3) avian rehabilitation nonprofit (EIN 85-4084487), verified via IRS/GuideStar and its own site; AR AGFC publishes no online rehabber list.",https://makeripples.org/wildlife-rehabilitation-in-northwest-arkansas-2/
Organization,Liberty Wildlife,2600 E Elwood St,Phoenix,Maricopa,AZ,85040,480-998-5550,all birds,33.36727,-112.06688,street address (ZIP-level coordinate),keep - established AZ Game & Fish/USFWS-permitted wildlife rehabilitation organization,https://azwildliferesource.org/rehab-facilities-near-you/
Organization,Tucson Wildlife Center,13275 E Speedway Blvd,Tucson,Pima,AZ,85748,520-290-9453,all birds,32.21325,-110.73852,street address (ZIP-level coordinate),keep - established Southern Arizona wildlife hospital (AZ Game & Fish/USFWS permitted),https://azwildliferesource.org/rehab-facilities-near-you/
Organization,Shasta Wildlife Rescue and Rehabilitation,3752 Rupert Road,Anderson,Shasta,CA,96007,530-365-9453,all birds,40.46932,-122.2784,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Gold Country Wildlife Rescue,11251 B Ave,Auburn,Placer,CA,95603,530-885-0862,all birds,38.97351,-121.06772,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,California Living Museum (CALM),10500 Alfred Harrell Highway,Bakersfield,Kern,CA,93306,661-872-2256,all birds,35.41305,-118.86748,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Humboldt Wildlife Care Center,2182 Old Arcata Rd,Bayside,Humboldt,CA,95524,707-822-8839,all birds,40.8234,-124.04175,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Big Bear Alpine Zoo,747 Club View Dr,Big Bear Lake,San Bernardino,CA,92315,909-584-1299,all birds,34.22322,-116.84741,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,WildCare Eastern Sierra,800 Keough Hot Springs Road Spc 17B,Bishop,Inyo,CA,93514,760-937-2450,all birds,37.02602,-118.33439,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Peninsula Humane Society & SPCA,1450 Rollins Rd,Burlingame,San Mateo,CA,94010,650-340-7022,all birds,37.56709,-122.36757,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,California Wildlife Center,26026 Piuma Rd,Calabasas,Los Angeles,CA,91302,310-458-9453,all birds,33.78659,-118.29866,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,California Raptor Center (UC Davis),1340 Equine Lane,Davis,Yolo,CA,95616,530-752-6091,raptors,38.52178,-121.74902,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,International Bird Rescue,4369 Cordelia Rd,Fairfield,Solano,CA,94534,707-207-0380,"waterfowl, shorebirds/seabirds",38.26708,-122.03565,street address (city-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Santa Barbara Wildlife Care Network,1460 N Fairview Ave,Goleta,Santa Barbara,CA,93117,805-681-1080,all birds,34.5038,-120.03881,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Sulphur Creek Nature Center,1801 D Street,Hayward,Alameda,CA,94541,510-881-6747,all birds,37.67513,-121.97412,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Wetlands and Wildlife Care Center,21900 Pacific Coast Highway,Huntington Beach,Orange,CA,92646,714-374-5587,all birds,33.6403,-117.76944,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Desert Wildlife Center,46500 Van Buren St,Indio,Riverside,CA,92201,760-203-5500,all birds,33.72872,-116.0357,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
Organization,Tri County Wildlife Care,12360 Trade Center Drive,Jackson,Amador,CA,95642,209-283-3245,all birds,38.36696,-120.76336,street address (ZIP-level coordinate),Licensed — on California official permitted-rehabilitator list (CDFW),https://wildlife.ca.gov/Conservation/Laboratories/Wildlife-Health/Rehab/Facilities
